Company Name,Industry,Symbol,Series,ISIN Code
NHPC Ltd.,ENERGY,NHPC,EQ,INE848E01016
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
Oil India Ltd.,ENERGY,OIL,EQ,INE274J01014
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Persistent Systems Ltd.,IT,PERSISTENT,EQ,INE262H01013
Petronet LNG Ltd.,ENERGY,PETRONET,EQ,INE347G01014
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Piramal Enterprises Ltd.,PHARMA,PEL,EQ,INE140A01024
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO,EQ,INE343B01030
Reliance Capital Ltd.,FINANCIAL SERVICES,RELCAPITAL,EQ,INE013A01015
Reliance Communications Ltd.,TELECOM,RCOM,EQ,INE330H01018
Reliance Infrastructure Ltd.,ENERGY,RELINFRA,EQ,INE036A01016
Reliance Power Ltd.,ENERGY,RPOWER,EQ,INE614G01033
SKS Microfinance Ltd.,FINANCIAL SERVICES,SKSMICRO,EQ,INE180K01011
SRF Ltd.,TEXTILES,SRF,EQ,INE647A01010
Sanofi India Ltd.,PHARMA,SANOFI,EQ,INE058A01010
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024
Sintex Industries Ltd.,INDUSTRIAL MANUFACTURING,SINTEX,EQ,INE429C01035
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Strides Shasun Ltd.,PHARMA,STAR,EQ,INE939A01011
Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC,EQ,INE232I01014
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,EQ,INE040H01021
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019
Tata Communications Ltd.,TELECOM,TATACOMM,EQ,INE151A01013
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Tata Global Beverages Ltd.,CONSUMER GOODS,TATAGLOBAL,EQ,INE192A01025
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
Thermax Ltd.,INDUSTRIAL MANUFACTURING,THERMAX,EQ,INE152A01029
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028
Torrent Power Ltd.,ENERGY,TORNTPOWER,EQ,INE813H01021
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025
Vakrangee Ltd.,IT,VAKRANGEE,EQ,INE051B01021
Voltas Ltd.,CONSTRUCTION,VOLTAS,EQ,INE226A01021
Wockhardt Ltd.,PHARMA,WOCKPHARMA,EQ,INE049B01025
Aban Offshore Ltd.,ENERGY,ABAN,EQ,INE421A01028
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014
Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
Alok Industries Ltd.,TEXTILES,ALOKTEXT,EQ,INE270A01011
Alstom India Ltd.,INDUSTRIAL MANUFACTURING,AIL,EQ,INE878A01011
Amtek Auto Ltd.,AUTOMOBILE,AMTEKAUTO,EQ,INE130C01021
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,EQ,INE203A01020
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,BAJAJHIND,EQ,INE306A01021
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING,EQ,INE032A01023
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,EQ,INE483A01010
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO,EQ,INE178A01016
Corporation Bank,FINANCIAL SERVICES,CORPBANK,EQ,INE112A01023
Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,DEEPAKFERT,EQ,INE501A01019
Delta Corp Ltd.,CONSTRUCTION,DELTACORP,EQ,INE124G01033
Den Networks Ltd.,MEDIA & ENTERTAINMENT,DEN,EQ,INE947J01015
Dena Bank,FINANCIAL SERVICES,DENABANK,EQ,INE077A01010
Dishman Pharmaceuticals & Chemicals Ltd.,PHARMA,DISHMAN,EQ,INE353G01020
Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT,EROSMEDIA,EQ,INE416L01017
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
FDC Ltd.,PHARMA,FDC,EQ,INE258B01022
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
Future Consumer Enterprise Ltd.,CONSUMER GOODS,FCEL,EQ,INE220J01025
GHCL Ltd.,CHEMICALS,GHCL,EQ,INE539A01019
GVK Power & Infrastructures Ltd.,CONSTRUCTION,GVKPIL,EQ,INE251H01024
Gati Ltd.,SERVICES,GATI,EQ,INE152B01027
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,EQ,INE224A01026
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025
Himachal Fut Com Ltd.,TELECOM,HFCL,EQ,INE548A01028
Hindustan Construction Co. Ltd.,CONSTRUCTION,HCC,EQ,INE549A01026
Housing Development and Infrastructure Ltd.,CONSTRUCTION,HDIL,EQ,INE191I01012
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
IL&FS Transportation Networks Ltd.,SERVICES,IL&FSTRANS,EQ,INE975G01012
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
Indian Overseas Bank ,FINANCIAL SERVICES,IOB,EQ,INE565A01014
Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,INOXWIND,EQ,INE066P01011
Intellect Design Arena Ltd.,IT,INTELLECT,EQ,INE306R01017
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,EQ,INE573A01042
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL,EQ,INE780C01023
Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING,JISLJALEQS,EQ,INE175A01038
Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS,JPASSOCIAT,EQ,INE455F01025
Jaiprakash Power Ventures Ltd.,ENERGY,JPPOWER,EQ,INE351F01018
Jaypee Infratech Ltd.,SERVICES,JPINFRATEC,EQ,INE099J01015
Jet Airways (India) Ltd.,SERVICES,JETAIRWAYS,EQ,INE802G01018
KPIT Technologies Ltd.,IT,KPIT,EQ,INE836A01035
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,EQ,INE455I01029
Kec International Ltd.,CONSTRUCTION,KEC,EQ,INE389H01022
Kitex Garments Ltd.,TEXTILES,KITEX,EQ,INE602G01020
Lakshmi Vilas Bank Ltd.,FINANCIAL SERVICES,LAKSHVILAS,EQ,INE694C01018
MOIL Ltd.,METALS,MOIL,EQ,INE490G01020
Magma Fincorp Ltd.,FINANCIAL SERVICES,MAGMA,EQ,INE511C01022
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027
Marksans Pharma Ltd.,PHARMA,MARKSANS,EQ,INE750C01026
McLeod Russel India Ltd.,CONSUMER GOODS,MCLEODRUSS,EQ,INE942G01012
Monsanto India Ltd.,FERTILISERS & PESTICIDES,MONSANTO,EQ,INE274B01011
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012
NIIT Ltd.,IT,NIITLTD,EQ,INE161A01038
National Buildings Construction Corporation Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01015
Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK,EQ,INE141A01014
Orissa Min Dev Co Ltd.,METALS,ORISSAMINE,EQ,INE725E01024
PTC India Fin Serv Ltd.,FINANCIAL SERVICES,PFS,EQ,INE560K01014
PTC India Ltd.,ENERGY,PTC,EQ,INE877F01012
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014
Polaris Consulting & Services Ltd.,IT,POLARIS,EQ,INE763A01023
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,EQ,INE074A01025
Prism Cement Ltd.,CEMENT & CEMENT PRODUCTS,PRISMCEM,EQ,INE010A01011
Punj Lloyd Ltd.,CONSTRUCTION,PUNJLLOYD,EQ,INE701B01021
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Raymond Ltd.,TEXTILES,RAYMOND,EQ,INE301A01014
Rolta India Ltd.,IT,ROLTA,EQ,INE293A01013
SJVN Ltd.,ENERGY,SJVN,EQ,INE002L01015
SREI Infrastructure Finance Ltd.,FINANCIAL SERVICES,SREINFRA,EQ,INE872A01014
Shipping Corporation of India Ltd.,SERVICES,SCI,EQ,INE109A01011
Shoppers Stop Ltd.,CONSUMER GOODS,SHOPERSTOP,EQ,INE498B01024
Shree Renuka Sugars Ltd.,CONSUMER GOODS,RENUKA,EQ,INE087H01022
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
State Bank of Bikaner & Jaipur Ltd.,FINANCIAL SERVICES,SBBJ,EQ,INE648A01026
Suven Life Sciences Ltd.,PHARMA,SUVEN,EQ,INE495B01038
Syndicate Bank,FINANCIAL SERVICES,SYNDIBANK,EQ,INE667A01018
TTK Prestige Ltd.,CONSUMER GOODS,TTKPRESTIG,EQ,INE690A01010
Tata Coffee Ltd.,CONSUMER GOODS,TATACOFFEE,EQ,INE493A01027
UCO Bank,FINANCIAL SERVICES,UCOBANK,EQ,INE691A01018
Unitech Ltd.,CONSTRUCTION,UNITECH,EQ,INE694A01020
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,EQ,INE054A01027
VRL Logistics Ltd.,SERVICES,VRLLOG,EQ,INE366I01010
Vijaya Bank,FINANCIAL SERVICES,VIJAYABANK,EQ,INE705A01016
Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025
Zensar Technolgies Ltd.,IT,ZENSARTECH,EQ,INE520A01019
Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL,EQ,INE768C01010
